Time              Gyro_X     Gyro_Y     Gyro_Z    Accel_X    Accel_Y    Accel_Z
372658.192700   -0.02126   -0.03552    0.37575   -0.16885   -0.01233    9.81165
372658.202700   -0.04887    0.09792    0.18988   -0.16582   -0.01512    9.81701
372658.212700    0.27244    0.11041    0.30923   -0.17224   -0.01407    9.83377
372658.222700   -0.00160    0.14794    0.33535   -0.16383   -0.00509    9.81906
372658.232700    0.10067    0.18352    0.18615   -0.17059   -0.02705    9.82460
372658.242700   -0.03684    0.21721    0.15258   -0.16545   -0.01605    9.83627
372658.252700    0.05982    0.04945    0.20919   -0.15651   -0.01092    9.81090
372658.262700   -0.08228    0.02183    0.14691   -0.15735   -0.02510    9.81814
372658.272700    0.01954    0.24345    0.22185   -0.16685   -0.02163    9.82776
372658.282700    0.06068    0.09253    0.32498   -0.16093   -0.00572    9.81407
372658.292700    0.09563    0.04079    0.21732   -0.16827   -0.02938    9.82783
372658.302700    0.11940    0.06039    0.15882   -0.16186   -0.01666    9.83733
372658.312700    0.10262    0.02303    0.36583   -0.17401   -0.01156    9.81093
372658.322700    0.13436   -0.03518    0.37517   -0.17525   -0.01669    9.82488
372658.332700    0.11322    0.10743    0.33048   -0.15547   -0.00697    9.83225
372658.342700    0.15040    0.06010    0.32258   -0.16994   -0.01063    9.80664
372658.352700   -0.01937    0.11121    0.26448   -0.17168   -0.02100    9.81671
372658.362700    0.19985    0.09511    0.25697   -0.16735   -0.01999    9.83416
372658.372700    0.06463    0.15120    0.35712   -0.18136   -0.01095    9.81807
372658.382700    0.10353    0.11946    0.39609   -0.16711   -0.01257    9.82661
372658.392700    0.01616    0.12892    0.19154   -0.16871   -0.02811    9.82960
372658.402700    0.18713   -0.06572    0.29628   -0.17879   -0.01229    9.81558
372658.412700    0.16134   -0.07746    0.30619   -0.15968   -0.02692    9.82066
372658.422700    0.05879    0.10399    0.31410   -0.16650   -0.00122    9.82474
372658.432700    0.01919    0.18060    0.21939   -0.17375   -0.01276    9.81807
372658.442700    0.19532    0.08193    0.17974   -0.16156   -0.02145    9.82026
372658.452700    0.12960    0.15636    0.21503   -0.16573   -0.01213    9.82768
372658.462700    0.07993    0.01346    0.30648   -0.17333   -0.00579    9.82086
372658.472700    0.03094   -0.03730    0.15544   -0.16452   -0.02639    9.82637
372658.482700    0.04841    0.14628    0.32046   -0.15900   -0.02082    9.83202
372658.492700   -0.00607   -0.02080    0.42330   -0.17287   -0.01478    9.81987
372658.502700    0.19263    0.22724    0.25898   -0.16774   -0.03420    9.82644
372658.512700    0.16415    0.08371    0.21549   -0.16983   -0.01352    9.82734
372658.522700    0.05964    0.16203    0.49297   -0.16894   -0.00294    9.81834
372658.532700    0.10869    0.01782    0.35386   -0.16084   -0.01495    9.83197
372658.542700    0.00911    0.11070    0.22706   -0.16358   -0.01738    9.83378
372658.552700    0.02126    0.00556    0.08824   -0.17189   -0.01419    9.81914
372658.562700    0.06738   -0.00665    0.20976   -0.16420   -0.02568    9.82244
372658.572700    0.17321    0.18627    0.28648   -0.16552   -0.00254    9.82617
372658.582700    0.10222    0.10170    0.23090   -0.17186   -0.02062    9.81564
372658.592700    0.04223    0.11018    0.24884   -0.16642   -0.01643    9.82201
372658.602700    0.14845    0.16925    0.63827   -0.16728   -0.01253    9.82484
372658.612700    0.04486   -0.05208    0.30682   -0.17563   -0.01656    9.81668
372658.622700    0.01730    0.05019    0.34698   -0.16666   -0.02129    9.82669
372658.632700   -0.05409    0.28545    0.22448   -0.16761   -0.01860    9.82310
372658.642700    0.15854    0.05334    0.31662   -0.16129   -0.01781    9.80348
372658.652700    0.09643    0.10966    0.38125   -0.17842   -0.02328    9.82673
372658.662700    0.15825   -0.05065    0.21818   -0.16856   -0.01830    9.83736
372658.672700    0.14897    0.07053    0.20506   -0.16880   -0.01249    9.82341
372658.682700    0.05157    0.09173    0.29295   -0.17262   -0.01611    9.82309
372658.692700    0.15103    0.05111    0.25915   -0.16778   -0.00660    9.82764
372658.702700    0.15309    0.22168    0.22597   -0.17032   -0.01084    9.82269
372658.712700    0.19698    0.21217    0.22626   -0.16539   -0.02308    9.83562
372658.722700    0.14404    0.29748    0.14845   -0.16894   -0.01294    9.82734
372658.732700    0.00384    0.12072    0.26029   -0.16370   -0.01645    9.81310
372658.742700   -0.05529    0.09712    0.44204   -0.17982   -0.02168    9.82564
372658.752700   -0.02028    0.00086    0.24546   -0.16562   -0.01651    9.82665
372658.762700    0.00040    0.03134    0.33707   -0.17473   -0.00789    9.81233
372658.772700    0.22042    0.10279    0.24838   -0.17090   -0.02179    9.82313
372658.782700    0.13224    0.19291    0.10560   -0.16028   -0.01561    9.82235
372658.792700    0.19950    0.29450    0.16026   -0.17794   -0.02156    9.81957
372658.802700    0.10714    0.03019    0.14834   -0.16419   -0.01831    9.83236
372658.812700    0.04738    0.23067    0.25915   -0.16933   -0.01926    9.82133
372658.822700    0.09024    0.02091    0.42296   -0.15766   -0.01738    9.82664
