
Project:     run2
Program:     Inertial Explorer Version 9.00.2207
Profile:     ARLI_IMU_BIASES
Source:      GNSS/INS Epochs(Smoothed TC Combined)
SolFile:      C:\Users\pleba\Documents\gnss_course\run2\run2.cts
ProcessInfo: run2 by Unknown on 4/24/2026 at 09:12:41

Datum:       ETRS89
Master 1:    Name BUDD00DNK, Status ENABLED
             Antenna height 2.694 m, to ARP [LEIAR25.R4(LEIT)]
             Lat, Lon, El Hgt 55 44 19.91720, 12 29 59.84215, 87.941 m [ETRF2000, 2024.003]
Remote:      Antenna height 0.000 m, to L1PC [Generic(NONE)]
IMU to GNSS Antenna Lever Arms:
             x=0.000, y=0.000, z=0.000 m (x-right, y-fwd, z-up)
Body to IMU Rotations:
             xRot=0.000, yRot=0.000, zRot=0.000 degrees

  GPSTime      AccBiasX      AccBiasY      AccBiasZ    GyroDriftX    GyroDriftY    GyroDriftZ
    (sec)       (m/s^2)       (m/s^2)       (m/s^2)       (deg/s)       (deg/s)       (deg/s)
372658.48  -3.64631E-03   1.18303E-02   9.50984E-03   8.59175E-02   7.86677E-02   2.49817E-01
372658.48  -3.64631E-03   1.18303E-02   9.50984E-03   8.59175E-02   7.86677E-02   2.49817E-01
372658.49  -3.64630E-03   1.18303E-02   9.50984E-03   8.59175E-02   7.86677E-02   2.49817E-01
372658.49  -3.64630E-03   1.18303E-02   9.50984E-03   8.59175E-02   7.86677E-02   2.49817E-01
372658.50  -3.64629E-03   1.18303E-02   9.50984E-03   8.59175E-02   7.86677E-02   2.49817E-01
372658.50  -3.64629E-03   1.18304E-02   9.50984E-03   8.59176E-02   7.86677E-02   2.49817E-01
372658.51  -3.64628E-03   1.18304E-02   9.50984E-03   8.59176E-02   7.86677E-02   2.49817E-01
372658.51  -3.64628E-03   1.18304E-02   9.50984E-03   8.59176E-02   7.86677E-02   2.49817E-01
372658.52  -3.64627E-03   1.18304E-02   9.50984E-03   8.59176E-02   7.86677E-02   2.49817E-01
372658.52  -3.64627E-03   1.18304E-02   9.50984E-03   8.59176E-02   7.86677E-02   2.49817E-01
372658.53  -3.64626E-03   1.18304E-02   9.50984E-03   8.59176E-02   7.86677E-02   2.49818E-01
372658.53  -3.64626E-03   1.18305E-02   9.50985E-03   8.59176E-02   7.86677E-02   2.49818E-01
372658.54  -3.64626E-03   1.18305E-02   9.50985E-03   8.59176E-02   7.86677E-02   2.49818E-01
372658.54  -3.64625E-03   1.18305E-02   9.50985E-03   8.59176E-02   7.86677E-02   2.49818E-01
372658.55  -3.64625E-03   1.18305E-02   9.50985E-03   8.59176E-02   7.86677E-02   2.49818E-01
372658.55  -3.64624E-03   1.18305E-02   9.50985E-03   8.59176E-02   7.86677E-02   2.49818E-01
372658.56  -3.64624E-03   1.18306E-02   9.50985E-03   8.59176E-02   7.86677E-02   2.49818E-01
372658.56  -3.64623E-03   1.18306E-02   9.50985E-03   8.59176E-02   7.86677E-02   2.49818E-01
372658.57  -3.64623E-03   1.18306E-02   9.50985E-03   8.59176E-02   7.86677E-02   2.49818E-01
372658.57  -3.64622E-03   1.18306E-02   9.50985E-03   8.59176E-02   7.86677E-02   2.49818E-01
372658.58  -3.64622E-03   1.18306E-02   9.50985E-03   8.59176E-02   7.86677E-02   2.49818E-01
372658.58  -3.64621E-03   1.18306E-02   9.50985E-03   8.59176E-02   7.86677E-02   2.49818E-01
372658.59  -3.64621E-03   1.18307E-02   9.50985E-03   8.59177E-02   7.86677E-02   2.49819E-01
372658.59  -3.64620E-03   1.18307E-02   9.50985E-03   8.59177E-02   7.86677E-02   2.49819E-01
372658.60  -3.64620E-03   1.18307E-02   9.50985E-03   8.59177E-02   7.86677E-02   2.49819E-01
372658.60  -3.64619E-03   1.18307E-02   9.50985E-03   8.59177E-02   7.86677E-02   2.49819E-01
372658.61  -3.64619E-03   1.18307E-02   9.50985E-03   8.59177E-02   7.86677E-02   2.49819E-01
372658.61  -3.64619E-03   1.18308E-02   9.50985E-03   8.59177E-02   7.86677E-02   2.49819E-01
372658.62  -3.64618E-03   1.18308E-02   9.50985E-03   8.59177E-02   7.86677E-02   2.49819E-01
372658.62  -3.64618E-03   1.18308E-02   9.50985E-03   8.59177E-02   7.86677E-02   2.49819E-01
372658.63  -3.64617E-03   1.18308E-02   9.50985E-03   8.59177E-02   7.86677E-02   2.49819E-01
372658.63  -3.64617E-03   1.18308E-02   9.50986E-03   8.59177E-02   7.86677E-02   2.49819E-01
372658.64  -3.64616E-03   1.18308E-02   9.50986E-03   8.59177E-02   7.86677E-02   2.49819E-01
372658.64  -3.64616E-03   1.18309E-02   9.50986E-03   8.59177E-02   7.86677E-02   2.49819E-01
372658.65  -3.64615E-03   1.18309E-02   9.50986E-03   8.59177E-02   7.86677E-02   2.49820E-01
372658.65  -3.64615E-03   1.18309E-02   9.50986E-03   8.59177E-02   7.86677E-02   2.49820E-01
372658.66  -3.64614E-03   1.18309E-02   9.50986E-03   8.59177E-02   7.86677E-02   2.49820E-01
372658.66  -3.64614E-03   1.18309E-02   9.50986E-03   8.59177E-02   7.86677E-02   2.49820E-01
372658.67  -3.64613E-03   1.18310E-02   9.50986E-03   8.59177E-02   7.86677E-02   2.49820E-01
372658.67  -3.64613E-03   1.18310E-02   9.50986E-03   8.59177E-02   7.86677E-02   2.49820E-01
372658.68  -3.64612E-03   1.18310E-02   9.50986E-03   8.59177E-02   7.86677E-02   2.49820E-01
372658.68  -3.64612E-03   1.18310E-02   9.50986E-03   8.59178E-02   7.86677E-02   2.49820E-01
372658.69  -3.64611E-03   1.18310E-02   9.50986E-03   8.59178E-02   7.86677E-02   2.49820E-01
372658.69  -3.64611E-03   1.18310E-02   9.50986E-03   8.59178E-02   7.86677E-02   2.49820E-01
372658.70  -3.64610E-03   1.18311E-02   9.50986E-03   8.59178E-02   7.86677E-02   2.49820E-01
372658.70  -3.64610E-03   1.18311E-02   9.50986E-03   8.59178E-02   7.86677E-02   2.49820E-01
372658.71  -3.64609E-03   1.18311E-02   9.50986E-03   8.59178E-02   7.86677E-02   2.49821E-01
372658.71  -3.64609E-03   1.18311E-02   9.50986E-03   8.59178E-02   7.86677E-02   2.49821E-01
372658.72  -3.64608E-03   1.18311E-02   9.50986E-03   8.59178E-02   7.86677E-02   2.49821E-01
372658.72  -3.64608E-03   1.18312E-02   9.50987E-03   8.59178E-02   7.86677E-02   2.49821E-01
372658.73  -3.64607E-03   1.18312E-02   9.50987E-03   8.59178E-02   7.86677E-02   2.49821E-01
372658.73  -3.64607E-03   1.18312E-02   9.50987E-03   8.59178E-02   7.86677E-02   2.49821E-01
372658.74  -3.64606E-03   1.18312E-02   9.50987E-03   8.59178E-02   7.86677E-02   2.49821E-01
372658.74  -3.64606E-03   1.18312E-02   9.50987E-03   8.59178E-02   7.86677E-02   2.49821E-01
372658.75  -3.64605E-03   1.18312E-02   9.50987E-03   8.59178E-02   7.86677E-02   2.49821E-01
372658.75  -3.64605E-03   1.18313E-02   9.50987E-03   8.59178E-02   7.86677E-02   2.49821E-01
372658.76  -3.64604E-03   1.18313E-02   9.50987E-03   8.59178E-02   7.86677E-02   2.49821E-01
372658.76  -3.64604E-03   1.18313E-02   9.50987E-03   8.59178E-02   7.86677E-02   2.49821E-01
372658.77  -3.64603E-03   1.18313E-02   9.50987E-03   8.59179E-02   7.86677E-02   2.49822E-01
372658.77  -3.64603E-03   1.18313E-02   9.50987E-03   8.59179E-02   7.86677E-02   2.49822E-01
372658.78  -3.64602E-03   1.18313E-02   9.50987E-03   8.59179E-02   7.86677E-02   2.49822E-01
372658.78  -3.64602E-03   1.18314E-02   9.50987E-03   8.59179E-02   7.86677E-02   2.49822E-01
372658.79  -3.64601E-03   1.18314E-02   9.50987E-03   8.59179E-02   7.86677E-02   2.49822E-01
372658.79  -3.64601E-03   1.18314E-02   9.50987E-03   8.59179E-02   7.86677E-02   2.49822E-01
372658.80  -3.64600E-03   1.18314E-02   9.50987E-03   8.59179E-02   7.86677E-02   2.49822E-01
372658.80  -3.64600E-03   1.18314E-02   9.50987E-03   8.59179E-02   7.86677E-02   2.49822E-01
372658.81  -3.64599E-03   1.18315E-02   9.50987E-03   8.59179E-02   7.86677E-02   2.49822E-01
372658.81  -3.64599E-03   1.18315E-02   9.50987E-03   8.59179E-02   7.86677E-02   2.49822E-01
372658.82  -3.64598E-03   1.18315E-02   9.50987E-03   8.59179E-02   7.86677E-02   2.49822E-01
372658.82  -3.64598E-03   1.18315E-02   9.50988E-03   8.59179E-02   7.86677E-02   2.49822E-01
372658.83  -3.64597E-03   1.18315E-02   9.50988E-03   8.59179E-02   7.86677E-02   2.49823E-01
372658.83  -3.64597E-03   1.18315E-02   9.50988E-03   8.59179E-02   7.86677E-02   2.49823E-01
372658.84  -3.64596E-03   1.18316E-02   9.50988E-03   8.59179E-02   7.86677E-02   2.49823E-01
372658.84  -3.64596E-03   1.18316E-02   9.50988E-03   8.59179E-02   7.86677E-02   2.49823E-01
372658.85  -3.64595E-03   1.18316E-02   9.50988E-03   8.59179E-02   7.86677E-02   2.49823E-01
372658.85  -3.64595E-03   1.18316E-02   9.50988E-03   8.59179E-02   7.86677E-02   2.49823E-01
372658.86  -3.64594E-03   1.18316E-02   9.50988E-03   8.59180E-02   7.86677E-02   2.49823E-01
372658.86  -3.64594E-03   1.18316E-02   9.50988E-03   8.59180E-02   7.86677E-02   2.49823E-01
372658.87  -3.64593E-03   1.18317E-02   9.50988E-03   8.59180E-02   7.86677E-02   2.49823E-01
372658.87  -3.64593E-03   1.18317E-02   9.50988E-03   8.59180E-02   7.86677E-02   2.49823E-01
372658.88  -3.64592E-03   1.18317E-02   9.50988E-03   8.59180E-02   7.86677E-02   2.49823E-01
372658.88  -3.64592E-03   1.18317E-02   9.50988E-03   8.59180E-02   7.86677E-02   2.49823E-01
372658.89  -3.64591E-03   1.18317E-02   9.50988E-03   8.59180E-02   7.86677E-02   2.49824E-01
372658.89  -3.64591E-03   1.18318E-02   9.50988E-03   8.59180E-02   7.86677E-02   2.49824E-01
372658.90  -3.64590E-03   1.18318E-02   9.50988E-03   8.59180E-02   7.86677E-02   2.49824E-01
372658.90  -3.64590E-03   1.18318E-02   9.50988E-03   8.59180E-02   7.86677E-02   2.49824E-01
372658.91  -3.64589E-03   1.18318E-02   9.50988E-03   8.59180E-02   7.86677E-02   2.49824E-01
372658.91  -3.64589E-03   1.18318E-02   9.50988E-03   8.59180E-02   7.86677E-02   2.49824E-01
372658.92  -3.64588E-03   1.18318E-02   9.50988E-03   8.59180E-02   7.86677E-02   2.49824E-01
372658.92  -3.64588E-03   1.18319E-02   9.50988E-03   8.59180E-02   7.86677E-02   2.49824E-01
372658.93  -3.64587E-03   1.18319E-02   9.50989E-03   8.59180E-02   7.86677E-02   2.49824E-01
372658.93  -3.64587E-03   1.18319E-02   9.50989E-03   8.59180E-02   7.86677E-02   2.49824E-01
372658.94  -3.64586E-03   1.18319E-02   9.50989E-03   8.59180E-02   7.86677E-02   2.49824E-01
372658.94  -3.64585E-03   1.18319E-02   9.50989E-03   8.59181E-02   7.86677E-02   2.49824E-01
372658.95  -3.64585E-03   1.18319E-02   9.50989E-03   8.59181E-02   7.86677E-02   2.49825E-01
372658.95  -3.64584E-03   1.18320E-02   9.50989E-03   8.59181E-02   7.86677E-02   2.49825E-01
372658.96  -3.64584E-03   1.18320E-02   9.50989E-03   8.59181E-02   7.86677E-02   2.49825E-01
372658.96  -3.64583E-03   1.18320E-02   9.50989E-03   8.59181E-02   7.86677E-02   2.49825E-01
