time_s,North_m,East_m,Down_m,Vel_N_ms,Vel_E_ms,Vel_D_ms,ECEF_X_m,ECEF_Y_m,ECEF_Z_m
120.53,764.0625272479213,-125.0120789544957,-327.9585787802773,17.72918365678658,-5.581386747031678,-9.110101314227288,3509010.862628476,778928.2685275018,5251675.877022918
120.54,764.2396889588279,-125.0678692703327,-328.0494518657964,17.72050860050217,-5.579816651005763,-9.094906152854874,3509010.78159042,778928.1933870023,5251676.0517898705
120.55,764.4168352548955,-125.12380975261037,-328.14015017641134,17.716589260973578,-5.589304383026942,-9.078189459988813,3509010.70050141,778928.1180813675,5251676.22640363
120.56,764.5940782574078,-125.17981298295065,-328.23080376704513,17.72172992480461,-5.596650163205811,-9.069635904249063,3509010.619323383,778928.0426916935,5251676.401034791
120.57000000000001,764.7712291580981,-125.23573818618004,-328.3216604847669,17.717303337433076,-5.593896948962945,-9.080326491481403,3509010.5383143034,778927.9674194555,5251676.57578213
120.58,764.9483809263663,-125.29161742214173,-328.412593608165,17.715885646599304,-5.5899147290409115,-9.088983717959623,3509010.457336504,778927.8922012488,5251676.750593137
120.59,765.1256345228853,-125.34757504786683,-328.50351788014547,17.72220163604429,-5.593813306947323,-9.09127940982888,3509010.376288634,778927.8168871867,5251676.925454086
120.60000000000001,765.3029543842939,-125.40358104426433,-328.5944999549128,17.72872463335536,-5.598337538111446,-9.095898118206811,3509010.2952294857,778927.7415210723,5251677.100400095
120.61,765.4803203048891,-125.45955245387597,-328.68555013442517,17.73396955413444,-5.597539835796759,-9.101978003499188,3509010.2141630463,778927.6661887681,5251677.275428321
120.62,765.6577399296333,-125.5155152519005,-328.7765156144882,17.739298184413087,-5.59669982379682,-9.098358061081646,3509010.1330048908,778927.5908449227,5251677.450416707
120.63,765.8351150005828,-125.57148363966056,-328.8673582727692,17.73810412024466,-5.596792467087657,-9.088963250403026,3509010.051816489,778927.5154886363,5251677.625278477
120.64,766.0124563063277,-125.62740232240546,-328.95814496287073,17.73545507784909,-5.5935096783132785,-9.082100429290469,3509009.9706138475,778927.4401801038,5251677.800074978
120.65,766.1897485365188,-125.68337702151169,-329.0487899755713,17.731300336272437,-5.5961498448214195,-9.070367634086189,3509009.8893851885,778927.3648084146,5251677.974726727
120.66,766.3671275682647,-125.7395360307803,-329.13940199547164,17.735702213909146,-5.609317244762165,-9.064257189927833,3509009.8081082935,778927.2892372183,5251678.149400005
120.67,766.544505710874,-125.79590551219422,-329.230223338552,17.737110200212754,-5.627737858533967,-9.076175252994284,3509009.7269926434,778927.2134862241,5251678.324245876
120.68,766.7218532795491,-125.85225049211947,-329.3211435642478,17.735541333534346,-5.632244622209379,-9.086740145820936,3509009.6459506466,778927.13777668,5251678.499156321
120.69,766.8992234948207,-125.90873219829261,-329.4122348679209,17.736528127536754,-5.642861957240639,-9.101666964962996,3509009.5650139167,778927.0619504516,5251678.674220969
120.7,767.0766863869983,-125.9655362257715,-329.50343026663256,17.743035495801685,-5.667889168870778,-9.113582236233958,3509009.484129376,778926.9858056403,5251678.849423809
120.71000000000001,767.2543384369127,-126.02259127977585,-329.59454053471086,17.7578151752237,-5.692966672404186,-9.111878661246319,3509009.4030998093,778926.9093714923,5251679.024662621
120.72,767.4322491652131,-126.07997915910671,-329.68554441282413,17.779986952007828,-5.7235141876781865,-9.104218101913682,3509009.3218751545,778926.8325531023,5251679.19995892
120.73,767.6102193835133,-126.13749653996564,-329.7765343336347,17.791343491062637,-5.742330139075328,-9.100734082107051,3509009.240622882,778926.7555959258,5251679.375277129
120.74000000000001,767.7882358249248,-126.19511278171916,-329.86752649664567,17.798210588428688,-5.755192839550325,-9.099722234648057,3509009.159355953,778926.6785342274,5251679.550623185
120.75,767.9663660234312,-126.25277663469961,-329.9585264233417,17.808083451855584,-5.762654484278278,-9.099902552746078,3509009.0780117735,778926.6014066077,5251679.726039629
120.76,768.1444901162063,-126.31044718527818,-330.0495359700956,17.81096731501897,-5.765588209864051,-9.100603982753402,3509008.9966792557,778926.5242747163,5251679.901460595
120.77,768.322575197955,-126.36830646511387,-330.1407724735552,17.809327857848647,-5.7791480752371145,-9.115968249553568,3509008.915543725,778926.4469932345,5251680.077047299
120.78,768.5007094807094,-126.42629747915223,-330.2321815739226,17.812061466809748,-5.792450298357517,-9.132596124900012,3509008.8344917763,778926.3695953675,5251680.252804392
