GPSTime,X-ECEF,Y-ECEF,Z-ECEF,cdt,variance,VX-ECEF,VY-ECEF,VZ-ECEF
2026-04-23 07:32:03.100,3509425.2854036936,779148.9932038371,5250992.612051071,-46108.16523090157,52.16972191794015,0.9718863572925329,0.48502124613150954,0.5837678536772728
2026-04-23 07:32:03.200,3509425.2697509024,779148.9558969087,5250992.529606863,-46112.68761518162,52.36342292732469,-0.15652791131287813,-0.37306928425095975,-0.8244420774281025
2026-04-23 07:32:03.300,3509425.3209906244,779148.9420333605,5250992.428964222,-46117.15995003003,51.212947686157676,0.51239721942693,-0.13863548170775175,-1.0064264107495546
2026-04-23 07:32:03.400,3509425.22322989,779148.9243847337,5250992.340405466,-46121.69390636295,52.00585271060475,-0.9776073414832354,-0.17648626817390323,-0.8855875581502914
2026-04-23 07:32:03.500,3509425.1238180464,779148.9063926772,5250992.205981298,-46126.282857688806,52.330476302181914,-0.9941184381023049,-0.1799205644056201,-1.344241676852107
2026-04-23 07:32:03.600,3509425.2408019234,779148.93091461,5250992.225060809,-46130.65913039066,52.118330204512695,1.1698387702926993,0.24521932820789516,0.19079511053860188
2026-04-23 07:32:03.700,3509425.300649296,779148.9548225127,5250992.106928761,-46135.171408434624,52.437986213630474,0.5984737258404493,0.23907902650535107,-1.181320482864976
2026-04-23 07:32:03.800,3509425.2736952496,779149.0084707293,5250992.200491442,-46139.56181264047,52.31245958733586,-0.26954046450555325,0.5364821664988995,0.9356268122792244
2026-04-23 07:32:03.900,3509425.3064897936,779148.9487168695,5250992.120871219,-46144.01595154775,52.20586257010439,0.32794544007629156,-0.5975385988131166,-0.7962022349238396
2026-04-23 07:32:04.000,3509425.2624974423,779148.9168123897,5250992.06592077,-46148.510398849896,52.43853200783685,-0.4399235127493739,-0.31904479721561074,-0.5495044868439436
2026-04-23 07:32:04.100,3509425.2784773814,779148.8940493522,5250992.006036592,-46152.985218826456,52.21748508504319,0.1597993914037943,-0.22763037588447332,-0.5988417845219374
2026-04-23 07:32:04.200,3509425.355658439,779148.985509605,5250992.046540159,-46157.39235931144,52.18723497098916,0.7718105753883719,0.9146025287918746,0.40503567084670067
2026-04-23 07:32:04.300,3509425.3770828727,779148.9427668196,5250991.9731836235,-46161.8805672754,52.19850608357407,0.21424433682113886,-0.4274278541561216,-0.7335653528571129
2026-04-23 07:32:04.400,3509425.3925248953,779148.8622716165,5250991.907297253,-46166.34460550637,51.760808760094456,0.1544202258810401,-0.8049520314671099,-0.6588637083768845
2026-04-23 07:32:04.500,3509425.454648809,779148.9077158,5250991.921977215,-46170.80246492214,52.06598337229116,0.6212391378358006,0.4544418351724744,0.14679962769150734
2026-04-23 07:32:04.600,3509425.485181062,779149.0153311798,5250991.895850629,-46175.29676486272,52.44444819382239,0.30532252974808216,1.076153798494488,-0.26126586832106113
2026-04-23 07:32:04.700,3509425.6236339123,779149.077870684,5250992.046410668,-46179.64085010597,52.24086497348076,1.3845285028219223,0.6253950414247811,1.5056003909558058
2026-04-23 07:32:04.800,3509425.6550718555,779149.1635488186,5250992.075170614,-46184.06972682403,52.42870468569098,0.3143794322386384,0.8567813457921147,0.2875994611531496
