datetime,X-ECEF,Y-ECEF,Z-ECEF,cdt,std_X,std_Y,std_Z,PDOP,nsats,VX-ECEF,VY-ECEF,VZ-ECEF,cdtdot,std_VX,std_VY,std_VZ,std_V3D
2026-04-23 07:42:31.400,3509402.2094,779166.4451,5250973.471,,0.0138,0.0073,0.0135,0.02063928293328041,12,1.6940000001341105,-0.4330000001937151,-1.1029999982565641,,0.1951665955024066,0.1039471019317037,0.1909188309203678,0.292138665705175
2026-04-23 07:42:31.500,3509402.2953,779166.4208,5250973.4172,,0.0137,0.0073,0.0135,0.020572554532677756,12,1.7799999983981252,-0.44400000013411045,-1.1139999981969595,,0.19375241933973364,0.10253292154230269,0.19021303845951257,0.29023094252680914
2026-04-23 07:42:31.600,3509402.3874,779166.4007,5250973.3596,,0.0136,0.0072,0.0134,0.020404901371974333,12,1.8809999991208315,-0.3070000000298023,-1.1969999969005585,,0.19233824372703415,0.10183319694480772,0.19021303845951257,0.2890415195088761
2026-04-23 07:42:31.700,3509402.4834,779166.3901,5250973.2975,,0.0135,0.0071,0.0134,0.02030320171795572,12,1.0550000006332994,-0.054000000236555934,-0.3370000049471855,,0.18607794065928393,0.10041912168506553,0.18462123388169627,0.2807026896914242
2026-04-23 07:42:31.800,3509402.4929,779166.3953,5250973.3259,,0.0127,0.007,0.0127,0.019276410454231358,12,1.0190000012516975,-0.16199999954551458,-0.272000003606081,,0.1853483207369303,0.09900505037623082,0.18462123388169627,0.2797159273262786
2026-04-23 07:42:31.900,3509402.5853,779166.3739,5250973.2703,,0.0127,0.0069,0.0127,0.019240322242623693,12,1.8640000000596046,-0.37299999967217445,-1.1899999994784594,,0.17960512242138307,0.09829038610159185,0.17960512242138307,0.2723545483372731
2026-04-23 07:42:32.000,3509402.6793,779166.358,5250973.2069,,0.0127,0.0069,0.0127,0.019240322242623693,12,1.861000000499189,-0.27600000030361116,-1.155000003054738,,0.17889941307897014,0.09758073580374355,0.17889941307897014,0.2711678447013952
2026-04-23 07:42:32.100,3509402.7714,779166.3463,5250973.1548,,0.0126,0.0069,0.0126,0.019108375127153014,12,1.8050000024959445,-0.2430000004824251,-1.0389999952167273,,0.17889941307897014,0.09758073580374355,0.17889941307897014,0.2711678447013952
2026-04-23 07:42:32.200,3509402.8598,779166.3337,5250973.103,,0.0126,0.0069,0.0126,0.019108375127153014,12,1.8170000007376075,-0.24399999994784594,-1.1299999989569187,,0.17748521065147935,0.09687620966986682,0.17748521065147935,0.2690483227972254
2026-04-23 07:42:32.300,3509402.9531,779166.3219,5250973.0418,,0.0125,0.0068,0.0125,0.01894043294119752,12,1.9169999985024333,-0.27599999913945794,-1.2440000008791685,,0.17748521065147935,0.09687620966986682,0.1767823520603796,0.2685851820186661
2026-04-23 07:42:32.400,3509403.0515,779166.3061,5250972.9786,,0.0125,0.0068,0.0124,0.018874586088176874,12,1.932000000961125,-0.27600000030361116,-1.2110000010579824,,0.17607100840286,0.09616652224137046,0.17607100840286,0.2669269563007827
2026-04-23 07:42:32.500,3509403.1463,779166.2943,5250972.9207,,0.0124,0.0068,0.0124,0.018808508712813993,12,1.8019999982789159,-0.22200000006705523,-1.1249999981373549,,0.18106904760339354,0.09687620966986682,0.1746568063374571,0.2695848660440715
2026-04-23 07:42:32.600,3509403.2317,779166.2839,5250972.8661,,0.0131,0.0069,0.0123,0.019248636315334133,12,1.7739999992772937,-0.30599999940022826,-1.0809999983757734,,0.18404347312523744,0.09687620966986682,0.1746568063374571,0.27159160517217756
2026-04-23 07:42:32.700,3509403.3237,779166.2637,5250972.8126,,0.0136,0.0069,0.0123,0.019592345444075857,12,1.7599999997764826,-0.44400000013411045,-1.0969999991357327,,0.19100261778310787,0.09758073580374355,0.17324260445975753,0.2757118060584276
2026-04-23 07:42:32.800,3509403.4077,779166.2395,5250972.7564,,0.0139,0.0069,0.0122,0.01973980749652843,12,1.7510000010952353,-0.4929999995511025,-1.1170000024139881,,0.1951819663800936,0.09687620966986682,0.17324260445975753,0.2783774416147975
2026-04-23 07:42:32.900,3509403.4988,779166.2144,5250972.7009,,0.014,0.0068,0.0122,0.01977574271677299,12,1.8060000007972121,-0.5160000000614673,-1.1000000033527613,,0.19728405916343061,0.09687620966986682,0.17182840277439582,0.2789820782774406
2026-04-23 07:42:33.000,3509403.5883,779166.1879,5250972.6464,,0.014,0.0068,0.0121,0.01971420807438128,12,1.8709999974817038,-0.4570000001695007,-1.0949999932199717,,0.19728405916343061,0.09616652224137046,0.17182840277439582,0.2787364346474999
2026-04-23 07:42:33.100,3509403.6859,779166.1687,5250972.5914,,0.0139,0.0068,0.0121,0.019643319475078542,12,1.9180000014603138,-0.332000000635162,-1.1440000031143427,,0.1965807722031837,0.0975909831900468,0.17111984104714448,0.27829840100151493
2026-04-23 07:42:33.200,3509403.7801,779166.1547,5250972.532,,0.0138,0.007,0.0121,0.01964306493396588,12,1.2749999994412065,-0.30100000090897083,-0.3370000049471855,,0.1944659353203023,0.0983107318658548,0.17041420128616042,0.2766279089318357
2026-04-23 07:42:33.300,3509403.8134,779166.1386,5250972.5577,,0.0136,0.0071,0.012,0.01947742282746873,12,1.2719999998807907,-0.1679999998304993,-0.5049999989569187,,0.19235384061671346,0.09970456358662827,0.17041420128616042,0.27564832667730815
2026-04-23 07:42:33.400,3509403.9073,779166.1379,5250972.4815,,0.0134,0.0071,0.012,0.019338303958723994,12,1.8680000025779009,-0.08899999898858368,-1.469999998807907,,0.19022355269524327,0.09970456358662827,0.1697056274847714,0.27372614051273947
2026-04-23 07:42:33.500,3509404.0002,779166.1297,5250972.4107,,0.0133,0.007,0.012,0.019232524535276175,12,1.8830000003799796,-0.20699999993667006,-1.3029999937862158,,0.18739530410338462,0.09970456358662827,0.1697056274847714,0.2717682836535566
2026-04-23 07:42:33.600,3509404.0956,779166.1172,5250972.3512,,0.0131,0.007,0.012,0.019094763680129693,12,1.907999999821186,-0.26799999992363155,-1.2199999950826168,,0.18879883474216674,0.09899494936611666,0.1697056274847714,0.2724793570162701
2026-04-23 07:42:33.700,3509404.191,779166.1029,5250972.2887,,0.0134,0.007,0.012,0.01930181338631166,12,1.8209999985992908,-0.3090000001247972,-1.2240000069141388,,0.18883061192507955,0.09899494936611666,0.1697056274847714,0.27250137614331416
2026-04-23 07:42:33.800,3509404.2777,779166.0863,5250972.2288,,0.0136,0.007,0.012,0.0194411933790084,12,1.8079999973997474,-0.27400000020861626,-1.2009999994188547,,0.191637678967368,0.09899494936611666,0.169,0.2740182475675662
2026-04-23 07:42:33.900,3509404.3718,779166.0755,5250972.1686,,0.0137,0.007,0.0119,0.019449935732541637,12,1.9290000014007092,-0.37999999942258,-1.2049999926239252,,0.19375241933973364,0.09829038610159185,0.169,0.27524897819973826
